fund_symbol,rating,return_rating,risk_rating,investment_type,fund_net_annual_expense_ratio,category_net_annual_expense_ratio,asset_cash_ratio,asset_stocks,price_earnings_ratio,price_book_ratio,price_sales_ratio,price_cashflow_ratio,median_market_cap,net_asset_value,fund_return_ytd,category_return_ytd,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,years_up,years_down,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
AACIX,2,2,5,Value,0.93,1.09,3.78,96.22,15.88,1.26,0.67,6.18,7774.75,288930000,-18.23,-15.13,-13.03,-10.02,-4.64,-0.95,2.06,3.98,7.76,7.96,26.55,25.18,-19.74,-12.86,17.73,13.22,17.65,18.06,-3.89,-5.41,8.44,9.31,39.99,35.14,16,16.6,0.33,-3.96,21.69,21.92,10,4,-4.54,-0.02,0.64,0.03,5.58,0.07
AADAX,3,2,3,Blend,1.07,0.73,5.08,76.12,20.71,2.33,1.46,11.29,13810.62,933350000,-3.17,-2.67,1.27,1.83,3.07,3.98,5.7,6.21,6.26,7.46,20.59,21.35,-8.27,-7.93,15.76,15.8,9.08,7.93,-4.68,-2.77,4.35,5.71,15.37,21.31,14.68,13.42,-1.13,-3.8,12.91,13.49,11,4,1.1,0.02,3.4,0.04,4.31,0.05
AADCX,2,2,3,Blend,1.82,0.73,5.08,76.12,20.71,2.33,1.46,11.29,13810.62,933350000,-3.77,-2.67,0.54,1.83,2.27,3.98,4.9,6.21,5.46,7.46,19.64,21.35,-8.95,-7.93,14.94,15.8,8.23,7.93,-5.4,-2.77,3.56,5.71,14.5,21.31,13.73,13.42,-1.79,-3.8,12.02,13.49,11,4,0.5,0.02,2.81,0.04,3.7,0.05
AADIX,3,3,3,Blend,0.73,0.73,5.08,76.12,20.71,2.33,1.46,11.29,13810.62,933350000,-2.9,-2.67,1.55,1.83,3.4,3.98,6.06,6.21,6.62,7.46,20.98,21.35,-8.02,-7.93,16.26,15.8,9.45,7.93,-4.28,-2.77,4.72,5.71,15.75,21.31,14.95,13.42,-0.78,-3.8,13.24,13.49,11,4,1.34,0.02,3.68,0.04,4.59,0.05
AADRX,2,2,3,Blend,1.32,0.73,5.08,76.12,20.71,2.33,1.46,11.29,13810.62,933350000,-3.37,-2.67,1,1.83,2.8,3.98,5.43,6.21,5.98,7.46,20.26,21.35,-8.49,-7.93,15.43,15.8,8.82,7.93,-4.89,-2.77,4.09,5.71,15.08,21.31,14.32,13.42,-1.32,-3.8,12.61,13.49,11,4,0.9,0.02,3.2,0.04,4.1,0.05
AADSX,3,2,3,Blend,0.97,0.73,5.08,76.12,20.71,2.33,1.46,11.29,13810.62,933350000,-3.11,-2.67,1.37,1.83,3.16,3.98,5.8,6.21,6.36,7.46,20.73,21.35,-8.17,-7.93,15.9,15.8,9.12,7.93,-4.51,-2.77,4.39,5.71,15.49,21.31,14.7,13.42,-0.87,-3.8,12.92,13.49,7,3,1.16,0.02,3.48,0.04,4.39,0.05
AADYX,3,3,3,Blend,0.82,0.73,5.08,76.12,20.71,2.33,1.46,11.29,13810.62,933350000,-2.99,-2.67,1.53,1.83,3.3,3.98,5.94,6.21,6.52,7.46,20.86,21.35,-8.08,-7.93,16.08,15.8,9.38,7.93,-4.43,-2.77,4.63,5.71,15.57,21.31,14.88,13.42,-0.79,-3.8,13.17,13.49,8,3,1.27,0.02,3.59,0.04,4.51,0.05
AAMOX,4,4,5,Growth,1.05,1.16,2.67,96.97,40.02,7.47,3.38,27.97,4379.92,2870000,25.4,14.82,37.3,22.59,21.2,13.64,19.16,13.1,14.74,12.76,38.31,32.52,-3.19,-6.65,36.91,23.91,3.82,6.03,-0.41,-0.95,4.9,7,32.22,34.93,14.54,14.07,-3.87,-3.96,23.67,24.61,8,3,16.01,0.11,14.75,0.11,11.82,0.11
AASCX,4,5,4,Blend,1.04,1.05,2.04,97.96,22.94,2.36,1.9,13.09,13334.76,2250000000,0.21,-6.28,6.08,-0.89,5.67,3.18,10.85,6.39,11.72,9.18,24.47,26.21,-10.64,-11.15,18.52,15.93,28.16,14.14,0.28,-4.75,11.44,7.8,35.11,34.1,13.91,16.15,-6.47,-3.81,25.31,22.52,20,6,3.63,0.01,8.41,0.05,9.6,0.08
AASOX,5,5,3,Growth,0.98,1.21,4.37,95.3,47.39,7.68,4.51,28.39,8687.76,270430000,37.64,10.02,45.74,18.21,22.37,11.01,19.43,12.18,14.48,12.31,29.34,27.68,1.44,-5.76,28.73,21.5,6.24,11.2,-3.32,-2.41,0.44,2.44,34.26,40.91,12.5,13.15,-3.18,-3.55,25.29,26.98,24,7,20.07,0.08,16.8,0.09,12.47,0.1
